hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"Shopping",0.0,0.06451612903225806,0.4193548387096775,0.1935483870967742,0.4193548387096774,0.8387096774193548,0.16129032258064516,0.0967741935483871,0.03225806451612903,0.1935483870967742,0.4193548387096774,0.4838709677419355,0.6129032258064515,1.7362428842504742,1.5047438330170777,0.5806451612903225,0.5806451612903225,0.06451612903225806,0.12903225806451613,0.935483870967742,1.032258064516129,2.419354838709677,0.32258064516129037,0.29032258064516125
"Watching",0.19047619047619047,0.0,0.13248847926267282,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.1865023709343485,0.20476858345021037,0.4109062980030722,0.0,0.05399719495091164,0.15424430641821946,0.021739130434782608,0.2699859747545582,1.1557743331936878,0.8430447532831824,0.9249649368863955,0.13043478260869565,0.35553997194950915,0.43317972350230416
"Browsers",0.5084485407066052,0.3264208909370199,0.271889400921659,0.03225806451612903,0.7741935483870968,0.06451612903225806,0.0,0.18181818181818182,0.0,0.4754224270353302,0.33385735349269713,0.319675415748347,5.953600795156771,5.260836171775862,4.495091164095371,0.9101382488479262,0.34916182461764506,0.0,1.4690521369838256,0.9633006077606356,3.8778801843317976,4.793778801843318,2.5781239564549523,0.37019969278033793
"Background Processes and Services",20.229045615441127,13.539938556067588,22.0673424284925,2.8330995792426377,11.064516129032258,33.434017595307914,10.560117302052788,7.938928766418246,12.870018370925887,21.14603858589503,27.778722212803558,44.55758570555204,64.74037777803969,55.82316253721254,74.99620352559465,64.5937619155588,42.15711610118012,34.16168295307805,52.26091260168482,57.771619341250585,73.63424723943658,89.12857393960438,63.022861547055115,57.72468134950605
"Listening",0.03225806451612903,0.047619047619047616,0.06451612903225806,0.03225806451612903,0.0,0.2785923753665689,0.06451612903225806,0.0,0.0,0.023809523809523808,0.06451612903225806,0.03225806451612903,0.7874841381152742,0.1205837173579109,0.2732447817836812,1.5728907398736618,0.1935483870967742,0.24393909036265277,0.0967741935483871,0.11006478327656448,0.1185133239831697,0.2608361717758632,0.24961597542242703,0.5806451612903225
"Office",0.1185133239831697,0.23809523809523808,0.07987711213517665,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0,0.07326007326007325,0.043478260869565216,0.021739130434782608,0.1297335203366059,0.06935817805383022,0.15561343752087087,0.0,0.23271889400921658,0.1556134375208709,0.10161624256995926,0.17078620304426756,0.06935817805383022,0.08971148066519735,0.03225806451612903,0.1443932411674347,0.25652841781874036
"News, Weather and Magazines",0.22580645161290322,0.22580645161290322,0.5425219941348973,0.03225806451612903,0.1935483870967742,0.4516129032258064,0.16129032258064516,0.03225806451612903,0.08625525946704067,0.16129032258064516,0.3548387096774194,0.9361851332398315,0.5378681626928471,0.32328190743338003,0.7854137447405329,0.8870142727497731,0.349146110056926,0.06728778467908902,0.12903225806451613,0.44109396914446003,0.39831697054698456,0.8442372741522977,0.5701262272089761,0.1935483870967742
"Communication",0.42493154344486733,0.1935483870967742,0.5161290322580645,0.10799438990182328,0.12903225806451613,0.25806451612903225,0.1935483870967742,0.12241521918941273,0.525424950431138,0.26636376850880605,0.48904181372624567,0.5066067639700178,0.5518600146931143,0.5477757399216023,0.3976722202528654,0.9559103822778438,0.5789035648783194,0.9532970810505668,1.018589872026057,0.9431707843348798,1.1756276682644144,1.072843637401017,0.7907181644909554,1.0859161875992172
"Photography",0.0,0.0,0.06451612903225806,0.0967741935483871,0.1935483870967742,0.7096774193548387,0.0,0.0,0.058823529411764705,0.0967741935483871,0.021739130434782608,0.3020770720630468,0.5079142456421558,0.06935817805383022,0.7828758431843986,0.5929339477726574,0.18509984639016897,0.021739130434782608,0.0,0.03225806451612903,0.07326007326007325,0.21765331442750796,0.16129032258064516,0.1443932411674347
"Tools",0.6575168636879717,0.11904761904761904,0.37295768747381647,0.03225806451612903,0.0967741935483871,0.25219941348973607,0.3049853372434017,0.2397172719753365,0.19495091164095374,0.16252587991718426,0.527082081079276,0.3576437587657784,0.33590462833099577,0.663193748747746,0.8546322774934276,2.325142832856718,1.3348178235976274,1.1034984183651784,1.5857331074722378,1.8132972684164832,1.3570709328072583,2.0666775954293484,1.092142546560499,0.3033126293995859
