foreground use;[29.13557737260401, 18.631720430107524, 31.086476870488085, 4.124824684431979, 16.16129032258065, 46.829912023460416, 14.642228739002936, 11.71824715723734, 18.111449477838384, 30.033201542565457, 39.77111107686142, 61.120586286084176, 94.9173708754189, 81.91578506470016, 107.33752203987744, 93.57042058675589, 61.129274638679796, 49.03065503508948, 74.5981702413309, 82.56110806801757, 105.39779983924446, 129.21131332023586, 89.32783929487987, 78.57590072386708]
data rx;[106529522.70677064, 14786972.235091478, 3609572.491621728, 1685950.4933127055, 3867138.2400549348, 4658525.721260878, 13436889.713455481, 166767108.16328672, 25227964.732991807, 21671009.36279469, 32520247.800425444, 21167758.784094024, 27932404.606075857, 38796335.4976786, 80140287.63084249, 36896407.739624254, 25682662.656358536, 20247293.476338346, 26662574.00264943, 46422601.26218428, 52311368.14812566, 76788877.94134022, 53907117.30785025, 118173056.56337407]
data tx;[17002389.409210578, 13840236.0234945, 10185101.020462712, 8872101.470569452, 11140904.397640595, 22424938.3800424, 27191604.93288315, 38403053.52852134, 45410801.71045367, 22234558.355711617, 15307178.063241638, 8963514.120907387, 35571462.80524565, 41012507.51737266, 22683739.87152427, 26647214.097248223, 37820930.13340798, 15292867.682120834, 15302166.818885818, 16467638.438954342, 11584992.215187917, 8545437.335336993, 16330240.174304927, 16825677.36611665]
data all;[123531912.11598116, 28627208.25858598, 13794673.51208444, 10558051.963882158, 15008042.63769553, 27083464.10130328, 40628494.646338634, 205170161.69180802, 70638766.4434455, 43905567.7185063, 47827425.86366709, 30131272.9050014, 63503867.41132151, 79808843.01505128, 102824027.5023668, 63543621.836872414, 63503592.78976652, 35540161.15845916, 41964740.821535274, 62890239.701138616, 63896360.36331357, 85334315.27667725, 70237357.48215513, 134998733.9294907]
